gbifID,countryCode,stateProvince,decimalLatitude,decimalLongitude,eventDate,year,month,day,datasetName,basisOfRecord,date,date_str,temp_mean,precip,humidity,wind_max
3911505349,IS,,64.2443,-21.4436,2017-09-10,2017,9,10.0,,MATERIAL_SAMPLE,2017-09-10,2017-09-10,4.4,0.1,84.0,26.9
3911552763,IS,,64.2443,-21.4436,2017-09-10,2017,9,10.0,,MATERIAL_SAMPLE,2017-09-10,2017-09-10,4.4,0.1,84.0,26.9
2441768669,FI,,60.426,22.992,2016-07-25,2016,7,25.0,,MATERIAL_SAMPLE,2016-07-25,2016-07-25,19.6,0.0,79.0,8.2
2574234654,RU,Krasnodar,44.831878,38.380771,2016-07-02T13:25,2016,7,2.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2016-07-02,2016-07-02,,,,
3916331142,FI,,60.425,23.0,2016-07-25,2016,7,25.0,,MATERIAL_SAMPLE,2016-07-25,2016-07-25,19.6,0.0,79.0,8.2
3916331262,FI,,60.746,21.689,2016-07-25,2016,7,25.0,,MATERIAL_SAMPLE,2016-07-25,2016-07-25,19.5,0.0,79.0,9.3
3916337318,FI,,60.559,22.64,2016-07-25,2016,7,25.0,,MATERIAL_SAMPLE,2016-07-25,2016-07-25,19.6,0.0,78.0,8.6
3916337669,FI,,60.425,23.0,2016-07-25,2016,7,25.0,,MATERIAL_SAMPLE,2016-07-25,2016-07-25,19.6,0.0,79.0,8.2
3916395666,FI,,60.561,22.642,2016-07-25,2016,7,25.0,,MATERIAL_SAMPLE,2016-07-25,2016-07-25,19.6,0.0,78.0,8.6
3120416703,CH,Be,46.74662,8.12567,2016-08-25,2016,8,25.0,,HUMAN_OBSERVATION,2016-08-25,2016-08-25,22.3,1.3,82.0,6.6
3911475163,IS,,64.0463,-18.2726,2016-08-24,2016,8,24.0,,MATERIAL_SAMPLE,2016-08-24,2016-08-24,,,,
5027332054,DE,,49.774731,7.998991,2016-08-07T00:00,2016,8,7.0,,HUMAN_OBSERVATION,2016-08-07,2016-08-07,18.9,0.0,71.0,8.7
5079838310,AT,,48.197453,16.443863,2016-09-20,2016,9,20.0,,HUMAN_OBSERVATION,2016-09-20,2016-09-20,15.5,0.0,54.0,22.4
3917207699,FI,,60.25,25.3,2016-10-01,2016,10,1.0,,MATERIAL_SAMPLE,2016-10-01,2016-10-01,,,,
5079856344,AT,,48.20924,16.510635,2016-10-24,2016,10,24.0,,HUMAN_OBSERVATION,2016-10-24,2016-10-24,11.2,0.2,90.0,15.8
3120323566,CH,Ti,46.37858,8.96595,2015-10-27,2015,10,27.0,,PRESERVED_SPECIMEN,2015-10-27,2015-10-27,9.8,0.0,74.0,5.8
3120363664,CH,Ge,46.24685,6.1744,2015-10-10,2015,10,10.0,,PRESERVED_SPECIMEN,2015-10-10,2015-10-10,12.2,0.0,83.0,11.4
3120408190,CH,Vd,46.42745,6.23524,2015-10-23,2015,10,23.0,,HUMAN_OBSERVATION,2015-10-23,2015-10-23,10.1,0.0,87.0,10.0
4868699695,GB,,50.721809,-2.755867,2014-07-02T00:00,2014,7,2.0,,PRESERVED_SPECIMEN,2014-07-02,2014-07-02,15.8,0.0,74.0,14.7
4868697889,GB,,50.944286,-2.498956,2014-09-06T00:00,2014,9,6.0,,PRESERVED_SPECIMEN,2014-09-06,2014-09-06,,,,
4868697927,GB,,50.839359,-2.908325,2014-09-20T00:00,2014,9,20.0,,PRESERVED_SPECIMEN,2014-09-20,2014-09-20,,,,
4868699728,GB,,50.948582,-2.711133,2014-09-17T00:00,2014,9,17.0,,PRESERVED_SPECIMEN,2014-09-17,2014-09-17,18.0,0.0,78.0,24.2
4868885740,GB,,50.948582,-2.711133,2014-09-17T00:00,2014,9,17.0,,PRESERVED_SPECIMEN,2014-09-17,2014-09-17,18.0,0.0,78.0,24.2
4869072658,GB,,50.923401,-3.479152,2014-09-18T00:00,2014,9,18.0,,PRESERVED_SPECIMEN,2014-09-18,2014-09-18,17.6,4.0,90.0,19.2
4868885846,JE,,49.227849,-2.071529,2014-10-15T00:00,2014,10,15.0,,PRESERVED_SPECIMEN,2014-10-15,2014-10-15,,,,
2846028825,DE,,49.0,8.4,2013-05-28,2013,5,28.0,,PRESERVED_SPECIMEN,2013-05-28,2013-05-28,14.3,5.1,73.0,17.0
5026246744,DE,,47.670532,7.533059,2013-07-20T00:00,2013,7,20.0,,HUMAN_OBSERVATION,2013-07-20,2013-07-20,,,,
1638417206,AT,,47.08167,15.45667,2013-09-30,2013,9,30.0,,PRESERVED_SPECIMEN,2013-09-30,2013-09-30,8.6,19.5,90.0,9.4
3119962064,CH,Ti,46.15693,8.7008,2013-11-01,2013,11,1.0,,HUMAN_OBSERVATION,2013-11-01,2013-11-01,8.8,1.3,91.0,5.4
3120397190,CH,Ti,46.0638,8.95714,2013-11-10,2013,11,10.0,,HUMAN_OBSERVATION,2013-11-10,2013-11-10,6.3,3.1,77.0,13.0
3120411216,CH,Ti,46.20116,8.76661,2013-11-01,2013,11,1.0,,HUMAN_OBSERVATION,2013-11-01,2013-11-01,,,,
694846485,DE,,49.468472,7.172722,2012-08-31,2012,8,31.0,,PRESERVED_SPECIMEN,2012-08-31,2012-08-31,13.3,2.4,80.0,24.6
694846490,DE,,51.267778,14.094722,2012-08-01,2012,8,1.0,,PRESERVED_SPECIMEN,2012-08-01,2012-08-01,20.0,0.0,65.0,12.2
